Pytorch-Fast	Pytorch-Original	Tensorflow
decoder.tp.u3.dense.units.1.preact_bna/bn.running_mean	decoder.tp.u3.dense.units.1.preact_bn.running_mean	tp/u3/dense/blk/1/preact_bna/bn/mean/EMA:0
decoder.tp.u3.dense.units.1.preact_bna/bn.running_var	decoder.tp.u3.dense.units.1.preact_bn.running_var	tp/u3/dense/blk/1/preact_bna/bn/variance/EMA:0
decoder.tp.u3.dense.units.1.conv1.weight	decoder.tp.u3.dense.units.1.conv1.weight	tp/u3/dense/blk/1/conv1/W:0
decoder.tp.u3.dense.units.1.conv1/bn.weight	decoder.tp.u3.dense.units.1.conv1_bn.weight	tp/u3/dense/blk/1/conv1/bn/gamma:0
decoder.tp.u3.dense.units.1.conv1/bn.bias	decoder.tp.u3.dense.units.1.conv1_bn.bias	tp/u3/dense/blk/1/conv1/bn/beta:0
decoder.tp.u3.dense.units.1.conv1/bn.running_mean	decoder.tp.u3.dense.units.1.conv1_bn.running_mean	tp/u3/dense/blk/1/conv1/bn/mean/EMA:0
decoder.tp.u3.dense.units.1.conv1/bn.running_var	decoder.tp.u3.dense.units.1.conv1_bn.running_var	tp/u3/dense/blk/1/conv1/bn/variance/EMA:0
decoder.tp.u3.dense.units.1.conv2.weight	decoder.tp.u3.dense.units.1.conv2.weight	tp/u3/dense/blk/1/conv2/W:0
decoder.tp.u3.dense.units.2.preact_bna/bn.weight	decoder.tp.u3.dense.units.2.preact_bn.weight	tp/u3/dense/blk/2/preact_bna/bn/gamma:0
decoder.tp.u3.dense.units.2.preact_bna/bn.bias	decoder.tp.u3.dense.units.2.preact_bn.bias	tp/u3/dense/blk/2/preact_bna/bn/beta:0
decoder.tp.u3.dense.units.2.preact_bna/bn.running_mean	decoder.tp.u3.dense.units.2.preact_bn.running_mean	tp/u3/dense/blk/2/preact_bna/bn/mean/EMA:0
decoder.tp.u3.dense.units.2.preact_bna/bn.running_var	decoder.tp.u3.dense.units.2.preact_bn.running_var	tp/u3/dense/blk/2/preact_bna/bn/variance/EMA:0
decoder.tp.u3.dense.units.2.conv1.weight	decoder.tp.u3.dense.units.2.conv1.weight	tp/u3/dense/blk/2/conv1/W:0
decoder.tp.u3.dense.units.2.conv1/bn.weight	decoder.tp.u3.dense.units.2.conv1_bn.weight	tp/u3/dense/blk/2/conv1/bn/gamma:0
decoder.tp.u3.dense.units.2.conv1/bn.bias	decoder.tp.u3.dense.units.2.conv1_bn.bias	tp/u3/dense/blk/2/conv1/bn/beta:0
decoder.tp.u3.dense.units.2.conv1/bn.running_mean	decoder.tp.u3.dense.units.2.conv1_bn.running_mean	tp/u3/dense/blk/2/conv1/bn/mean/EMA:0
decoder.tp.u3.dense.units.2.conv1/bn.running_var	decoder.tp.u3.dense.units.2.conv1_bn.running_var	tp/u3/dense/blk/2/conv1/bn/variance/EMA:0
decoder.tp.u3.dense.units.2.conv2.weight	decoder.tp.u3.dense.units.2.conv2.weight	tp/u3/dense/blk/2/conv2/W:0
decoder.tp.u3.dense.units.3.preact_bna/bn.weight	decoder.tp.u3.dense.units.3.preact_bn.weight	tp/u3/dense/blk/3/preact_bna/bn/gamma:0
decoder.tp.u3.dense.units.3.preact_bna/bn.bias	decoder.tp.u3.dense.units.3.preact_bn.bias	tp/u3/dense/blk/3/preact_bna/bn/beta:0
decoder.tp.u3.dense.units.3.preact_bna/bn.running_mean	decoder.tp.u3.dense.units.3.preact_bn.running_mean	tp/u3/dense/blk/3/preact_bna/bn/mean/EMA:0
decoder.tp.u3.dense.units.3.preact_bna/bn.running_var	decoder.tp.u3.dense.units.3.preact_bn.running_var	tp/u3/dense/blk/3/preact_bna/bn/variance/EMA:0
decoder.tp.u3.dense.units.3.conv1.weight	decoder.tp.u3.dense.units.3.conv1.weight	tp/u3/dense/blk/3/conv1/W:0
decoder.tp.u3.dense.units.3.conv1/bn.weight	decoder.tp.u3.dense.units.3.conv1_bn.weight	tp/u3/dense/blk/3/conv1/bn/gamma:0
decoder.tp.u3.dense.units.3.conv1/bn.bias	decoder.tp.u3.dense.units.3.conv1_bn.bias	tp/u3/dense/blk/3/conv1/bn/beta:0
decoder.tp.u3.dense.units.3.conv1/bn.running_mean	decoder.tp.u3.dense.units.3.conv1_bn.running_mean	tp/u3/dense/blk/3/conv1/bn/mean/EMA:0
decoder.tp.u3.dense.units.3.conv1/bn.running_var	decoder.tp.u3.dense.units.3.conv1_bn.running_var	tp/u3/dense/blk/3/conv1/bn/variance/EMA:0
decoder.tp.u3.dense.units.3.conv2.weight	decoder.tp.u3.dense.units.3.conv2.weight	tp/u3/dense/blk/3/conv2/W:0
decoder.tp.u3.dense.units.4.preact_bna/bn.weight	decoder.tp.u3.dense.units.4.preact_bn.weight	tp/u3/dense/blk/4/preact_bna/bn/gamma:0
decoder.tp.u3.dense.units.4.preact_bna/bn.bias	decoder.tp.u3.dense.units.4.preact_bn.bias	tp/u3/dense/blk/4/preact_bna/bn/beta:0
decoder.tp.u3.dense.units.4.preact_bna/bn.running_mean	decoder.tp.u3.dense.units.4.preact_bn.running_mean	tp/u3/dense/blk/4/preact_bna/bn/mean/EMA:0
decoder.tp.u3.dense.units.4.preact_bna/bn.running_var	decoder.tp.u3.dense.units.4.preact_bn.running_var	tp/u3/dense/blk/4/preact_bna/bn/variance/EMA:0
decoder.tp.u3.dense.units.4.conv1.weight	decoder.tp.u3.dense.units.4.conv1.weight	tp/u3/dense/blk/4/conv1/W:0
decoder.tp.u3.dense.units.4.conv1/bn.weight	decoder.tp.u3.dense.units.4.conv1_bn.weight	tp/u3/dense/blk/4/conv1/bn/gamma:0
decoder.tp.u3.dense.units.4.conv1/bn.bias	decoder.tp.u3.dense.units.4.conv1_bn.bias	tp/u3/dense/blk/4/conv1/bn/beta:0
decoder.tp.u3.dense.units.4.conv1/bn.running_mean	decoder.tp.u3.dense.units.4.conv1_bn.running_mean	tp/u3/dense/blk/4/conv1/bn/mean/EMA:0
decoder.tp.u3.dense.units.4.conv1/bn.running_var	decoder.tp.u3.dense.units.4.conv1_bn.running_var	tp/u3/dense/blk/4/conv1/bn/variance/EMA:0
decoder.tp.u3.dense.units.4.conv2.weight	decoder.tp.u3.dense.units.4.conv2.weight	tp/u3/dense/blk/4/conv2/W:0
decoder.tp.u3.dense.units.5.preact_bna/bn.weight	decoder.tp.u3.dense.units.5.preact_bn.weight	tp/u3/dense/blk/5/preact_bna/bn/gamma:0
decoder.tp.u3.dense.units.5.preact_bna/bn.bias	decoder.tp.u3.dense.units.5.preact_bn.bias	tp/u3/dense/blk/5/preact_bna/bn/beta:0
decoder.tp.u3.dense.units.5.preact_bna/bn.running_mean	decoder.tp.u3.dense.units.5.preact_bn.running_mean	tp/u3/dense/blk/5/preact_bna/bn/mean/EMA:0
decoder.tp.u3.dense.units.5.preact_bna/bn.running_var	decoder.tp.u3.dense.units.5.preact_bn.running_var	tp/u3/dense/blk/5/preact_bna/bn/variance/EMA:0
decoder.tp.u3.dense.units.5.conv1.weight	decoder.tp.u3.dense.units.5.conv1.weight	tp/u3/dense/blk/5/conv1/W:0
decoder.tp.u3.dense.units.5.conv1/bn.weight	decoder.tp.u3.dense.units.5.conv1_bn.weight	tp/u3/dense/blk/5/conv1/bn/gamma:0
decoder.tp.u3.dense.units.5.conv1/bn.bias	decoder.tp.u3.dense.units.5.conv1_bn.bias	tp/u3/dense/blk/5/conv1/bn/beta:0
decoder.tp.u3.dense.units.5.conv1/bn.running_mean	decoder.tp.u3.dense.units.5.conv1_bn.running_mean	tp/u3/dense/blk/5/conv1/bn/mean/EMA:0
decoder.tp.u3.dense.units.5.conv1/bn.running_var	decoder.tp.u3.dense.units.5.conv1_bn.running_var	tp/u3/dense/blk/5/conv1/bn/variance/EMA:0
decoder.tp.u3.dense.units.5.conv2.weight	decoder.tp.u3.dense.units.5.conv2.weight	tp/u3/dense/blk/5/conv2/W:0
decoder.tp.u3.dense.units.6.preact_bna/bn.weight	decoder.tp.u3.dense.units.6.preact_bn.weight	tp/u3/dense/blk/6/preact_bna/bn/gamma:0
decoder.tp.u3.dense.units.6.preact_bna/bn.bias	decoder.tp.u3.dense.units.6.preact_bn.bias	tp/u3/dense/blk/6/preact_bna/bn/beta:0
decoder.tp.u3.dense.units.6.preact_bna/bn.running_mean	decoder.tp.u3.dense.units.6.preact_bn.running_mean	tp/u3/dense/blk/6/preact_bna/bn/mean/EMA:0
decoder.tp.u3.dense.units.6.preact_bna/bn.running_var	decoder.tp.u3.dense.units.6.preact_bn.running_var	tp/u3/dense/blk/6/preact_bna/bn/variance/EMA:0
decoder.tp.u3.dense.units.6.conv1.weight	decoder.tp.u3.dense.units.6.conv1.weight	tp/u3/dense/blk/6/conv1/W:0
decoder.tp.u3.dense.units.6.conv1/bn.weight	decoder.tp.u3.dense.units.6.conv1_bn.weight	tp/u3/dense/blk/6/conv1/bn/gamma:0
decoder.tp.u3.dense.units.6.conv1/bn.bias	decoder.tp.u3.dense.units.6.conv1_bn.bias	tp/u3/dense/blk/6/conv1/bn/beta:0
decoder.tp.u3.dense.units.6.conv1/bn.running_mean	decoder.tp.u3.dense.units.6.conv1_bn.running_mean	tp/u3/dense/blk/6/conv1/bn/mean/EMA:0
decoder.tp.u3.dense.units.6.conv1/bn.running_var	decoder.tp.u3.dense.units.6.conv1_bn.running_var	tp/u3/dense/blk/6/conv1/bn/variance/EMA:0
decoder.tp.u3.dense.units.6.conv2.weight	decoder.tp.u3.dense.units.6.conv2.weight	tp/u3/dense/blk/6/conv2/W:0
decoder.tp.u3.dense.units.7.preact_bna/bn.weight	decoder.tp.u3.dense.units.7.preact_bn.weight	tp/u3/dense/blk/7/preact_bna/bn/gamma:0
decoder.tp.u3.dense.units.7.preact_bna/bn.bias	decoder.tp.u3.dense.units.7.preact_bn.bias	tp/u3/dense/blk/7/preact_bna/bn/beta:0
decoder.tp.u3.dense.units.7.preact_bna/bn.running_mean	decoder.tp.u3.dense.units.7.preact_bn.running_mean	tp/u3/dense/blk/7/preact_bna/bn/mean/EMA:0
decoder.tp.u3.dense.units.7.preact_bna/bn.running_var	decoder.tp.u3.dense.units.7.preact_bn.running_var	tp/u3/dense/blk/7/preact_bna/bn/variance/EMA:0
decoder.tp.u3.dense.units.7.conv1.weight	decoder.tp.u3.dense.units.7.conv1.weight	tp/u3/dense/blk/7/conv1/W:0
decoder.tp.u3.dense.units.7.conv1/bn.weight	decoder.tp.u3.dense.units.7.conv1_bn.weight	tp/u3/dense/blk/7/conv1/bn/gamma:0
decoder.tp.u3.dense.units.7.conv1/bn.bias	decoder.tp.u3.dense.units.7.conv1_bn.bias	tp/u3/dense/blk/7/conv1/bn/beta:0
decoder.tp.u3.dense.units.7.conv1/bn.running_mean	decoder.tp.u3.dense.units.7.conv1_bn.running_mean	tp/u3/dense/blk/7/conv1/bn/mean/EMA:0
decoder.tp.u3.dense.units.7.conv1/bn.running_var	decoder.tp.u3.dense.units.7.conv1_bn.running_var	tp/u3/dense/blk/7/conv1/bn/variance/EMA:0
decoder.tp.u3.dense.units.7.conv2.weight	decoder.tp.u3.dense.units.7.conv2.weight	tp/u3/dense/blk/7/conv2/W:0
decoder.tp.u3.dense.blk_bna.bn.weight	decoder.tp.u3.dense.blk_bna.bn.weight	tp/u3/dense/blk_bna/bn/gamma:0
decoder.tp.u3.dense.blk_bna.bn.bias	decoder.tp.u3.dense.blk_bna.bn.bias	tp/u3/dense/blk_bna/bn/beta:0
decoder.tp.u3.dense.blk_bna.bn.running_mean	decoder.tp.u3.dense.blk_bna.bn.running_mean	tp/u3/dense/blk_bna/bn/mean/EMA:0
decoder.tp.u3.dense.blk_bna.bn.running_var	decoder.tp.u3.dense.blk_bna.bn.running_var	tp/u3/dense/blk_bna/bn/variance/EMA:0
decoder.tp.u3.convf.weight	decoder.tp.u3.convf.weight	tp/u3/convf/W:0
decoder.tp.u2.conva.weight	decoder.tp.u2.conva.weight	tp/u2/conva/W:0
decoder.tp.u2.dense.units.0.preact_bna/bn.weight	decoder.tp.u2.dense.units.0.preact_bn.weight	tp/u2/dense/blk/0/preact_bna/bn/gamma:0
decoder.tp.u2.dense.units.0.preact_bna/bn.bias	decoder.tp.u2.dense.units.0.preact_bn.bias	tp/u2/dense/blk/0/preact_bna/bn/beta:0
decoder.tp.u2.dense.units.0.preact_bna/bn.running_mean	decoder.tp.u2.dense.units.0.preact_bn.running_mean	tp/u2/dense/blk/0/preact_bna/bn/mean/EMA:0
decoder.tp.u2.dense.units.0.preact_bna/bn.running_var	decoder.tp.u2.dense.units.0.preact_bn.running_var	tp/u2/dense/blk/0/preact_bna/bn/variance/EMA:0
decoder.tp.u2.dense.units.0.conv1.weight	decoder.tp.u2.dense.units.0.conv1.weight	tp/u2/dense/blk/0/conv1/W:0
decoder.tp.u2.dense.units.0.conv1/bn.weight	decoder.tp.u2.dense.units.0.conv1_bn.weight	tp/u2/dense/blk/0/conv1/bn/gamma:0
decoder.tp.u2.dense.units.0.conv1/bn.bias	decoder.tp.u2.dense.units.0.conv1_bn.bias	tp/u2/dense/blk/0/conv1/bn/beta:0
decoder.tp.u2.dense.units.0.conv1/bn.running_mean	decoder.tp.u2.dense.units.0.conv1_bn.running_mean	tp/u2/dense/blk/0/conv1/bn/mean/EMA:0
decoder.tp.u2.dense.units.0.conv1/bn.running_var	decoder.tp.u2.dense.units.0.conv1_bn.running_var	tp/u2/dense/blk/0/conv1/bn/variance/EMA:0
decoder.tp.u2.dense.units.0.conv2.weight	decoder.tp.u2.dense.units.0.conv2.weight	tp/u2/dense/blk/0/conv2/W:0
decoder.tp.u2.dense.units.1.preact_bna/bn.weight	decoder.tp.u2.dense.units.1.preact_bn.weight	tp/u2/dense/blk/1/preact_bna/bn/gamma:0
decoder.tp.u2.dense.units.1.preact_bna/bn.bias	decoder.tp.u2.dense.units.1.preact_bn.bias	tp/u2/dense/blk/1/preact_bna/bn/beta:0
decoder.tp.u2.dense.units.1.preact_bna/bn.running_mean	decoder.tp.u2.dense.units.1.preact_bn.running_mean	tp/u2/dense/blk/1/preact_bna/bn/mean/EMA:0
decoder.tp.u2.dense.units.1.preact_bna/bn.running_var	decoder.tp.u2.dense.units.1.preact_bn.running_var	tp/u2/dense/blk/1/preact_bna/bn/variance/EMA:0
decoder.tp.u2.dense.units.1.conv1.weight	decoder.tp.u2.dense.units.1.conv1.weight	tp/u2/dense/blk/1/conv1/W:0
decoder.tp.u2.dense.units.1.conv1/bn.weight	decoder.tp.u2.dense.units.1.conv1_bn.weight	tp/u2/dense/blk/1/conv1/bn/gamma:0
decoder.tp.u2.dense.units.1.conv1/bn.bias	decoder.tp.u2.dense.units.1.conv1_bn.bias	tp/u2/dense/blk/1/conv1/bn/beta:0
decoder.tp.u2.dense.units.1.conv1/bn.running_mean	decoder.tp.u2.dense.units.1.conv1_bn.running_mean	tp/u2/dense/blk/1/conv1/bn/mean/EMA:0
decoder.tp.u2.dense.units.1.conv1/bn.running_var	decoder.tp.u2.dense.units.1.conv1_bn.running_var	tp/u2/dense/blk/1/conv1/bn/variance/EMA:0
decoder.tp.u2.dense.units.1.conv2.weight	decoder.tp.u2.dense.units.1.conv2.weight	tp/u2/dense/blk/1/conv2/W:0
decoder.tp.u2.dense.units.2.preact_bna/bn.weight	decoder.tp.u2.dense.units.2.preact_bn.weight	tp/u2/dense/blk/2/preact_bna/bn/gamma:0
decoder.tp.u2.dense.units.2.preact_bna/bn.bias	decoder.tp.u2.dense.units.2.preact_bn.bias	tp/u2/dense/blk/2/preact_bna/bn/beta:0
decoder.tp.u2.dense.units.2.preact_bna/bn.running_mean	decoder.tp.u2.dense.units.2.preact_bn.running_mean	tp/u2/dense/blk/2/preact_bna/bn/mean/EMA:0
decoder.tp.u2.dense.units.2.preact_bna/bn.running_var	decoder.tp.u2.dense.units.2.preact_bn.running_var	tp/u2/dense/blk/2/preact_bna/bn/variance/EMA:0
decoder.tp.u2.dense.units.2.conv1.weight	decoder.tp.u2.dense.units.2.conv1.weight	tp/u2/dense/blk/2/conv1/W:0
decoder.tp.u2.dense.units.2.conv1/bn.weight	decoder.tp.u2.dense.units.2.conv1_bn.weight	tp/u2/dense/blk/2/conv1/bn/gamma:0
decoder.tp.u2.dense.units.2.conv1/bn.bias	decoder.tp.u2.dense.units.2.conv1_bn.bias	tp/u2/dense/blk/2/conv1/bn/beta:0
decoder.tp.u2.dense.units.2.conv1/bn.running_mean	decoder.tp.u2.dense.units.2.conv1_bn.running_mean	tp/u2/dense/blk/2/conv1/bn/mean/EMA:0
decoder.tp.u2.dense.units.2.conv1/bn.running_var	decoder.tp.u2.dense.units.2.conv1_bn.running_var	tp/u2/dense/blk/2/conv1/bn/variance/EMA:0
decoder.tp.u2.dense.units.2.conv2.weight	decoder.tp.u2.dense.units.2.conv2.weight	tp/u2/dense/blk/2/conv2/W:0
decoder.tp.u2.dense.units.3.preact_bna/bn.weight	decoder.tp.u2.dense.units.3.preact_bn.weight	tp/u2/dense/blk/3/preact_bna/bn/gamma:0
decoder.tp.u2.dense.units.3.preact_bna/bn.bias	decoder.tp.u2.dense.units.3.preact_bn.bias	tp/u2/dense/blk/3/preact_bna/bn/beta:0
decoder.tp.u2.dense.units.3.preact_bna/bn.running_mean	decoder.tp.u2.dense.units.3.preact_bn.running_mean	tp/u2/dense/blk/3/preact_bna/bn/mean/EMA:0
decoder.tp.u2.dense.units.3.preact_bna/bn.running_var	decoder.tp.u2.dense.units.3.preact_bn.running_var	tp/u2/dense/blk/3/preact_bna/bn/variance/EMA:0
decoder.tp.u2.dense.units.3.conv1.weight	decoder.tp.u2.dense.units.3.conv1.weight	tp/u2/dense/blk/3/conv1/W:0
decoder.tp.u2.dense.units.3.conv1/bn.weight	decoder.tp.u2.dense.units.3.conv1_bn.weight	tp/u2/dense/blk/3/conv1/bn/gamma:0
decoder.tp.u2.dense.units.3.conv1/bn.bias	decoder.tp.u2.dense.units.3.conv1_bn.bias	tp/u2/dense/blk/3/conv1/bn/beta:0
decoder.tp.u2.dense.units.3.conv1/bn.running_mean	decoder.tp.u2.dense.units.3.conv1_bn.running_mean	tp/u2/dense/blk/3/conv1/bn/mean/EMA:0
decoder.tp.u2.dense.units.3.conv1/bn.running_var	decoder.tp.u2.dense.units.3.conv1_bn.running_var	tp/u2/dense/blk/3/conv1/bn/variance/EMA:0
decoder.tp.u2.dense.units.3.conv2.weight	decoder.tp.u2.dense.units.3.conv2.weight	tp/u2/dense/blk/3/conv2/W:0
decoder.tp.u2.dense.blk_bna.bn.weight	decoder.tp.u2.dense.blk_bna.bn.weight	tp/u2/dense/blk_bna/bn/gamma:0
decoder.tp.u2.dense.blk_bna.bn.bias	decoder.tp.u2.dense.blk_bna.bn.bias	tp/u2/dense/blk_bna/bn/beta:0
decoder.tp.u2.dense.blk_bna.bn.running_mean	decoder.tp.u2.dense.blk_bna.bn.running_mean	tp/u2/dense/blk_bna/bn/mean/EMA:0
decoder.tp.u2.dense.blk_bna.bn.running_var	decoder.tp.u2.dense.blk_bna.bn.running_var	tp/u2/dense/blk_bna/bn/variance/EMA:0
decoder.tp.u2.convf.weight	decoder.tp.u2.convf.weight	tp/u2/convf/W:0
decoder.tp.u1.conva.weight	decoder.tp.u1.conva.weight	tp/u1/conva/W:0
decoder.tp.u0.bn.weight	decoder.tp.u0.bn.weight	preact_out_tp/bn/gamma:0
decoder.tp.u0.bn.bias	decoder.tp.u0.bn.bias	preact_out_tp/bn/beta:0
decoder.tp.u0.bn.running_mean	decoder.tp.u0.bn.running_mean	preact_out_tp/bn/mean/EMA:0
decoder.tp.u0.bn.running_var	decoder.tp.u0.bn.running_var	preact_out_tp/bn/variance/EMA:0
decoder.tp.u0.conv.weight	decoder.tp.u0.conv.weight	conv_out_tp/W:0
decoder.tp.u0.conv.bias	decoder.tp.u0.conv.bias	conv_out_tp/b:0
decoder.np.u3.conva.weight	decoder.np.u3.conva.weight	np/u3/conva/W:0
decoder.np.u3.dense.units.0.preact_bna/bn.weight	decoder.np.u3.dense.units.0.preact_bn.weight	np/u3/dense/blk/0/preact_bna/bn/gamma:0
decoder.np.u3.dense.units.0.preact_bna/bn.bias	decoder.np.u3.dense.units.0.preact_bn.bias	np/u3/dense/blk/0/preact_bna/bn/beta:0
decoder.np.u3.dense.units.0.preact_bna/bn.running_mean	decoder.np.u3.dense.units.0.preact_bn.running_mean	np/u3/dense/blk/0/preact_bna/bn/mean/EMA:0
decoder.np.u3.dense.units.0.preact_bna/bn.running_var	decoder.np.u3.dense.units.0.preact_bn.running_var	np/u3/dense/blk/0/preact_bna/bn/variance/EMA:0
decoder.np.u3.dense.units.0.conv1.weight	decoder.np.u3.dense.units.0.conv1.weight	np/u3/dense/blk/0/conv1/W:0
decoder.np.u3.dense.units.0.conv1/bn.weight	decoder.np.u3.dense.units.0.conv1_bn.weight	np/u3/dense/blk/0/conv1/bn/gamma:0
decoder.np.u3.dense.units.0.conv1/bn.bias	decoder.np.u3.dense.units.0.conv1_bn.bias	np/u3/dense/blk/0/conv1/bn/beta:0
decoder.np.u3.dense.units.0.conv1/bn.running_mean	decoder.np.u3.dense.units.0.conv1_bn.running_mean	np/u3/dense/blk/0/conv1/bn/mean/EMA:0
decoder.np.u3.dense.units.0.conv1/bn.running_var	decoder.np.u3.dense.units.0.conv1_bn.running_var	np/u3/dense/blk/0/conv1/bn/variance/EMA:0
decoder.np.u3.dense.units.0.conv2.weight	decoder.np.u3.dense.units.0.conv2.weight	np/u3/dense/blk/0/conv2/W:0
decoder.np.u3.dense.units.1.preact_bna/bn.weight	decoder.np.u3.dense.units.1.preact_bn.weight	np/u3/dense/blk/1/preact_bna/bn/gamma:0
decoder.np.u3.dense.units.1.preact_bna/bn.bias	decoder.np.u3.dense.units.1.preact_bn.bias	np/u3/dense/blk/1/preact_bna/bn/beta:0
decoder.np.u3.dense.units.1.preact_bna/bn.running_mean	decoder.np.u3.dense.units.1.preact_bn.running_mean	np/u3/dense/blk/1/preact_bna/bn/mean/EMA:0
decoder.np.u3.dense.units.1.preact_bna/bn.running_var	decoder.np.u3.dense.units.1.preact_bn.running_var	np/u3/dense/blk/1/preact_bna/bn/variance/EMA:0
decoder.np.u3.dense.units.1.conv1.weight	decoder.np.u3.dense.units.1.conv1.weight	np/u3/dense/blk/1/conv1/W:0
decoder.np.u3.dense.units.1.conv1/bn.weight	decoder.np.u3.dense.units.1.conv1_bn.weight	np/u3/dense/blk/1/conv1/bn/gamma:0
decoder.np.u3.dense.units.1.conv1/bn.bias	decoder.np.u3.dense.units.1.conv1_bn.bias	np/u3/dense/blk/1/conv1/bn/beta:0
decoder.np.u3.dense.units.1.conv1/bn.running_mean	decoder.np.u3.dense.units.1.conv1_bn.running_mean	np/u3/dense/blk/1/conv1/bn/mean/EMA:0
decoder.np.u3.dense.units.1.conv1/bn.running_var	decoder.np.u3.dense.units.1.conv1_bn.running_var	np/u3/dense/blk/1/conv1/bn/variance/EMA:0
decoder.np.u3.dense.units.1.conv2.weight	decoder.np.u3.dense.units.1.conv2.weight	np/u3/dense/blk/1/conv2/W:0
decoder.np.u3.dense.units.2.preact_bna/bn.weight	decoder.np.u3.dense.units.2.preact_bn.weight	np/u3/dense/blk/2/preact_bna/bn/gamma:0
decoder.np.u3.dense.units.2.preact_bna/bn.bias	decoder.np.u3.dense.units.2.preact_bn.bias	np/u3/dense/blk/2/preact_bna/bn/beta:0
decoder.np.u3.dense.units.2.preact_bna/bn.running_mean	decoder.np.u3.dense.units.2.preact_bn.running_mean	np/u3/dense/blk/2/preact_bna/bn/mean/EMA:0
decoder.np.u3.dense.units.2.preact_bna/bn.running_var	decoder.np.u3.dense.units.2.preact_bn.running_var	np/u3/dense/blk/2/preact_bna/bn/variance/EMA:0
decoder.np.u3.dense.units.2.conv1.weight	decoder.np.u3.dense.units.2.conv1.weight	np/u3/dense/blk/2/conv1/W:0
decoder.np.u3.dense.units.2.conv1/bn.weight	decoder.np.u3.dense.units.2.conv1_bn.weight	np/u3/dense/blk/2/conv1/bn/gamma:0
decoder.np.u3.dense.units.2.conv1/bn.bias	decoder.np.u3.dense.units.2.conv1_bn.bias	np/u3/dense/blk/2/conv1/bn/beta:0
decoder.np.u3.dense.units.2.conv1/bn.running_mean	decoder.np.u3.dense.units.2.conv1_bn.running_mean	np/u3/dense/blk/2/conv1/bn/mean/EMA:0
decoder.np.u3.dense.units.2.conv1/bn.running_var	decoder.np.u3.dense.units.2.conv1_bn.running_var	np/u3/dense/blk/2/conv1/bn/variance/EMA:0
decoder.np.u3.dense.units.2.conv2.weight	decoder.np.u3.dense.units.2.conv2.weight	np/u3/dense/blk/2/conv2/W:0
decoder.np.u3.dense.units.3.preact_bna/bn.weight	decoder.np.u3.dense.units.3.preact_bn.weight	np/u3/dense/blk/3/preact_bna/bn/gamma:0
decoder.np.u3.dense.units.3.preact_bna/bn.bias	decoder.np.u3.dense.units.3.preact_bn.bias	np/u3/dense/blk/3/preact_bna/bn/beta:0
decoder.np.u3.dense.units.3.preact_bna/bn.running_mean	decoder.np.u3.dense.units.3.preact_bn.running_mean	np/u3/dense/blk/3/preact_bna/bn/mean/EMA:0
decoder.np.u3.dense.units.3.preact_bna/bn.running_var	decoder.np.u3.dense.units.3.preact_bn.running_var	np/u3/dense/blk/3/preact_bna/bn/variance/EMA:0
decoder.np.u3.dense.units.3.conv1.weight	decoder.np.u3.dense.units.3.conv1.weight	np/u3/dense/blk/3/conv1/W:0
decoder.np.u3.dense.units.3.conv1/bn.weight	decoder.np.u3.dense.units.3.conv1_bn.weight	np/u3/dense/blk/3/conv1/bn/gamma:0
decoder.np.u3.dense.units.3.conv1/bn.bias	decoder.np.u3.dense.units.3.conv1_bn.bias	np/u3/dense/blk/3/conv1/bn/beta:0
decoder.np.u3.dense.units.3.conv1/bn.running_mean	decoder.np.u3.dense.units.3.conv1_bn.running_mean	np/u3/dense/blk/3/conv1/bn/mean/EMA:0
decoder.np.u3.dense.units.3.conv1/bn.running_var	decoder.np.u3.dense.units.3.conv1_bn.running_var	np/u3/dense/blk/3/conv1/bn/variance/EMA:0
decoder.np.u3.dense.units.3.conv2.weight	decoder.np.u3.dense.units.3.conv2.weight	np/u3/dense/blk/3/conv2/W:0
decoder.np.u3.dense.units.4.preact_bna/bn.weight	decoder.np.u3.dense.units.4.preact_bn.weight	np/u3/dense/blk/4/preact_bna/bn/gamma:0
decoder.np.u3.dense.units.4.preact_bna/bn.bias	decoder.np.u3.dense.units.4.preact_bn.bias	np/u3/dense/blk/4/preact_bna/bn/beta:0
decoder.np.u3.dense.units.4.preact_bna/bn.running_mean	decoder.np.u3.dense.units.4.preact_bn.running_mean	np/u3/dense/blk/4/preact_bna/bn/mean/EMA:0
decoder.np.u3.dense.units.4.preact_bna/bn.running_var	decoder.np.u3.dense.units.4.preact_bn.running_var	np/u3/dense/blk/4/preact_bna/bn/variance/EMA:0
decoder.np.u3.dense.units.4.conv1.weight	decoder.np.u3.dense.units.4.conv1.weight	np/u3/dense/blk/4/conv1/W:0
decoder.np.u3.dense.units.4.conv1/bn.weight	decoder.np.u3.dense.units.4.conv1_bn.weight	np/u3/dense/blk/4/conv1/bn/gamma:0
decoder.np.u3.dense.units.4.conv1/bn.bias	decoder.np.u3.dense.units.4.conv1_bn.bias	np/u3/dense/blk/4/conv1/bn/beta:0
decoder.np.u3.dense.units.4.conv1/bn.running_mean	decoder.np.u3.dense.units.4.conv1_bn.running_mean	np/u3/dense/blk/4/conv1/bn/mean/EMA:0
decoder.np.u3.dense.units.4.conv1/bn.running_var	decoder.np.u3.dense.units.4.conv1_bn.running_var	np/u3/dense/blk/4/conv1/bn/variance/EMA:0
decoder.np.u3.dense.units.4.conv2.weight	decoder.np.u3.dense.units.4.conv2.weight	np/u3/dense/blk/4/conv2/W:0
